date,open,high,low,close,volume,adjusted,oi
2010-07-09,1262.3001,1267.8563,1259.7798,1266.9322,162445084.8068272,1266.9322,7634688.0
2010-07-12,1268.3056,1269.8621,1258.7379,1258.9231,166044917.4112258,1258.9231,7749434.0
2010-07-13,1260.2953,1260.2953,1249.1132,1249.8448,175008424.9250335,1249.8448,7683998.0
2010-07-14,1256.8308,1259.4622,1253.6968,1255.5666,187503967.3737885,1255.5666,7730576.0
2010-07-15,1253.2725,1261.2751,1250.3157,1254.5251,177352821.1550787,1254.5251,7731672.0
2010-07-16,1261.2505,1263.3691,1256.8608,1263.3283,160981384.285646,1263.3283,7723680.0
2010-07-19,1253.5246,1263.1001,1253.5246,1262.0698,164858534.7860559,1262.0698,7904700.0
2010-07-20,1261.6246,1272.8008,1261.6246,1272.268,169450670.3789439,1272.268,8060464.0
2010-07-21,1273.7896,1275.9265,1270.6621,1271.764,165323713.1922684,1271.764,7989654.0
2010-07-22,1273.6966,1277.0682,1271.8223,1276.7377,163412725.7420368,1276.7377,8093270.0
2010-07-23,1286.0576,1293.9479,1286.0576,1293.0677,176297683.543885,1293.0677,8091308.0
2010-07-26,1292.1629,1297.8502,1291.9636,1297.0628,177219431.6147303,1297.0628,8439276.0
2010-07-27,1295.2838,1295.2838,1284.7775,1284.7775,186868513.5736265,1284.7775,8241496.0
2010-07-28,1283.2996,1300.0745,1283.2996,1299.7562,172992355.682566,1299.7562,8591718.0
2010-07-29,1302.0043,1306.4508,1297.0736,1304.7557,195251987.975947,1304.7557,8565480.0
2010-07-30,1306.2063,1311.7912,1305.7653,1311.7668,199995282.0419812,1311.7668,8572208.0
2010-08-02,1321.593,1339.7357,1321.593,1335.4187,201293241.3106855,1335.4187,8800396.0
2010-08-03,1341.4438,1341.4438,1331.8734,1332.0184,191452622.5106644,1332.0184,8695916.0
2010-08-04,1333.6538,1338.0911,1327.7548,1337.9358,207507741.7402035,1337.9358,8876084.0
2010-08-05,1343.8819,1346.9533,1327.1678,1329.5116,223554374.772527,1329.5116,8700452.0
2010-08-06,1329.2754,1342.5775,1327.3383,1342.5775,207310996.7636034,1342.5775,8897548.0
2010-08-09,1342.725,1356.7029,1342.725,1356.687,232971480.2501376,1356.687,9245322.0
2010-08-10,1351.7956,1354.731,1343.5502,1344.516,209938623.6552288,1344.516,9120066.0
2010-08-11,1343.7555,1352.5299,1339.0287,1339.6667,233970492.5425627,1339.6667,9163472.0
2010-08-12,1335.8799,1337.465,1326.7952,1330.2548,231725571.7000948,1330.2548,9131492.0
2010-08-13,1337.3967,1348.8299,1335.4567,1348.8299,222940243.6917225,1348.8299,9431962.0
2010-08-16,1346.2867,1357.8764,1343.6023,1354.326,226719971.4226543,1354.326,9669872.0
2010-08-17,1352.5793,1357.949,1349.5879,1357.949,198827097.2548837,1357.949,9599826.0
2010-08-18,1364.0468,1366.5705,1353.3458,1354.5448,223582222.9792741,1354.5448,9440586.0
2010-08-19,1357.8688,1361.1803,1350.775,1359.868,212769153.3777516,1359.868,9484868.0
2010-08-20,1351.721,1351.721,1334.7357,1335.3467,208221133.755948,1335.3467,9069516.0
